SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,SECURITY_INNER_CODE,ACCOUNTING_STANDARDS,NOTICE_DATE,START_DATE,REPORT_DATE,FINANCIAL_DATE,STD_REPORT_DATE,CURRENCY,DATE_TYPE,DATE_TYPE_CODE,REPORT_TYPE,REPORT_DATA_TYPE,ORGTYPE,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,PARENT_HOLDER_NETPROFIT,PARENT_HOLDER_NETPROFIT_YOY,BASIC_EPS,DILUTED_EPS,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,ACCOUNTS_RECE_TR,INVENTORY_TR,TOTAL_ASSETS_TR,ACCOUNTS_RECE_TDAYS,INVENTORY_TDAYS,TOTAL_ASSETS_TDAYS,ROE_AVG,ROA,CURRENT_RATIO,SPEED_RATIO,OCF_LIQDEBT,DEBT_ASSET_RATIO,EQUITY_RATIO,BASIC_EPS_YOY,GROSS_PROFIT_RATIO_YOY,NET_PROFIT_RATIO_YOY,ROE_AVG_YOY,ROA_YOY,DEBT_ASSET_RATIO_YOY,CURRENT_RATIO_YOY,SPEED_RATIO_YOY,CURRENCY_ABBR
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2025-10-31 00:00:00,2024-09-29 00:00:00,2025-09-27 00:00:00,9-27,2025-12-31 00:00:00,美元,年报,001,2025/FY,2025年 年报,一般企业,416161000000,6.4255117828,195201000000,8.0350669404,112010000000,19.4951779466,7.49,7.46,46.9051641072,26.9150641218,11.372538838865,33.983389726238,1.149265210481,31.655200751632,10.593410572049,313.243624462738,171.4224497448,30.9325468331,0.893292922219,0.858770399261,0.673074484849,79.4753382827,387.2187487285,22.5859247136,1.5123771836,12.2805762875,8.9001454874,18.3966197788,-5.8308964503,2.9954997065,3.966498697,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2025-10-31 00:00:00,2023-10-01 00:00:00,2024-09-28 00:00:00,9-28,2024-12-31 00:00:00,美元,年报,001,2024/FY,2024年 年报,一般企业,391035000000,2.0219940775,180683000000,6.8194717053,93736000000,-3.3599670086,6.11,6.08,46.2063498152,23.9712557699,12.42998823866,30.895498274216,1.089897333056,28.962215658445,11.65218300753,330.306340864771,157.4125075569,26.1262077337,0.867312576534,0.826006848383,0.670404553494,84.3964052825,540.8779631255,-0.8116883117,4.7023954698,-5.2752949351,-8.4542281687,-5.0064069773,2.4550514009,-12.2163632956,-12.5402389151,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2025-10-31 00:00:00,2022-09-25 00:00:00,2023-09-30 00:00:00,9-30,2023-12-31 00:00:00,美元,年报,001,2023/FY,2023年 年报,一般企业,383285000000,-2.8004605303,169148000000,-0.9567753042,96995000000,-2.8135426791,6.16,6.13,44.1311295772,25.3062342643,13.287284198849,37.977653631285,1.08681228007,27.093572667858,9.479258605472,331.243956846727,171.9495116028,27.5031261608,0.988011671759,0.944442150467,0.760749580202,82.3740792948,467.3462491552,0.162601626,1.896804487,-0.0134590646,-2.000338973,-3.0313840389,-3.808329692,12.3562743184,11.4734063676,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2024-11-01 00:00:00,2021-09-26 00:00:00,2022-09-24 00:00:00,9-24,2022-12-31 00:00:00,美元,年报,001,2022/FY,2022年 年报,一般企业,394328000000,7.7937876042,170782000000,11.7419979586,99803000000,5.4108576257,6.15,6.11,43.3096305614,25.3096407052,14.480849032353,38.789866389033,1.120636810717,24.860420766468,9.28077442674,321.245917104639,175.4592922065,28.3629150403,0.879356028627,0.84723539115,0.793281032848,85.6353559836,596.153694348,8.4656084656,3.6627438762,-2.2106375808,19.0011694063,1.0870708256,4.4005849737,-18.1654203417,-17.1095745097,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2023-11-03 00:00:00,2020-09-27 00:00:00,2021-09-25 00:00:00,9-25,2021-12-31 00:00:00,美元,年报,001,2021/FY,2021年 年报,一般企业,365817000000,33.2593847331,152836000000,45.6191165822,94680000000,64.916131055,5.67,5.61,41.7793596252,25.8817933557,17.256332845889,40.03026031388,1.08407888693,20.861906363018,8.99319657622,332.079154331179,147.4433344494,28.0579057328,1.074553119596,1.022114901858,0.829113570979,82.0257434431,456.3512442542,71.2990936556,9.2749429048,23.7557350165,100.0979993142,61.8650518981,2.7548124042,-21.1975935507,-22.8634507658,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2022-10-28 00:00:00,2019-09-29 00:00:00,2020-09-26 00:00:00,9-26,2020-12-31 00:00:00,美元,年报,001,2020/FY,2020年 年报,一般企业,274515000000,5.512080377,104956000000,6.6712740873,57411000000,3.9000289561,3.31,3.28,38.2332477278,20.9136112781,14.061107411771,41.522958246602,0.828844632581,25.60253538058,8.66990251181,434.339544287051,73.6855615522,17.3341344557,1.363604448155,1.325072111735,0.765466069531,79.826668478,395.7039440457,10.7023411371,1.0986360105,-1.5278358791,31.7761506204,10.4622862964,8.9498141601,-11.4614786664,-11.7375555194,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2021-10-29 00:00:00,2018-09-30 00:00:00,2019-09-28 00:00:00,9-28,2019-12-31 00:00:00,美元,年报,001,2019/FY,2019年 年报,一般企业,260174000000,-2.0410775805,98392000000,-3.3847543672,55256000000,-7.1811325192,2.99,2.97,37.817768109,21.238094506,11.284437890354,40.134457950881,0.738877742137,31.902342278629,8.969848314398,487.225395312084,55.91722114,15.6923553159,1.540125617208,1.501286441287,0.656378289411,73.269210318,274.1004332066,-0.3333333333,-1.3716737113,-5.2471534105,13.2762614071,-2.3305021528,3.6297826712,35.9422735648,36.6294056915,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2020-10-30 00:00:00,2017-10-01 00:00:00,2018-09-29 00:00:00,9-29,2018-12-31 00:00:00,美元,年报,001,2018/FY,2018年 年报,一般企业,265595000000,15.8619576503,101839000000,15.4820493049,59531000000,23.1225827801,3.0,2.98,38.34371882,22.4142020746,12.936921578178,37.170809215753,0.716813036743,27.827331086806,9.68501917487,502.223008716109,49.363582842,16.0667922553,1.13292618758,1.098801852858,0.667943310129,70.7028505024,241.3301352348,-67.6375404531,-0.3278973989,6.2666169958,33.8945453572,15.805614526,9.9842631873,-11.2170541609,-10.5140883803,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2019-10-31 00:00:00,2016-09-25 00:00:00,2017-09-30 00:00:00,9-30,2017-12-31 00:00:00,美元,年报,001,2017/FY,2017年 年报,一般企业,229234000000,6.3045181994,88186000000,4.655661441,48351000000,5.8309803664,9.27,9.21,38.4698604919,21.0924208451,13.633519685976,40.374409617862,0.657768595634,26.405507036478,8.916539050536,547.304937313112,36.8675084637,13.8739320378,1.276062848414,1.227904854484,0.637064296625,64.2845153056,179.9906003118,11.0179640719,-1.5510693114,-0.445454098,-0.0969360468,-7.071196412,6.9052383494,-5.6633622456,-7.3757593464,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2018-11-05 00:00:00,2015-09-27 00:00:00,2016-09-24 00:00:00,9-24,2016-12-31 00:00:00,美元,年报,001,2016/FY,2016年 年报,一般企业,215639000000,-7.7342061913,84263000000,-10.0004272318,45687000000,-14.4342060906,8.35,8.31,39.0759556481,21.1867983064,13.228169186885,58.636911403705,0.704666920466,27.214650411103,6.139477530142,510.879664624998,36.9032810455,14.9296359171,1.352669417513,1.325684125256,0.838303419993,60.1322407565,150.8292462319,-10.0215517241,-2.4561876584,-7.2616292807,-20.2060025474,-26.99538336,2.1059444556,21.9972272211,22.7905610049,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2017-11-03 00:00:00,2014-09-28 00:00:00,2015-09-26 00:00:00,9-26,2015-12-31 00:00:00,美元,年报,001,2015/FY,2015年 年报,一般企业,233715000000,27.8563418037,93626000000,32.7331754965,53394000000,35.1404707669,9.28,9.22,40.0599020174,22.8457736987,13.624121950509,62.820179372197,0.895144240344,26.423721198895,5.730642662879,402.169822219549,46.2481918736,20.4502627426,1.108770623992,1.079630318819,1.008137948145,58.8920077838,143.261698295,42.9892141757,3.8143072326,5.6971197986,37.5951014516,13.5709042232,13.5026784206,2.6532205149,3.1321657158,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2016-10-26 00:00:00,2013-09-29 00:00:00,2014-09-27 00:00:00,9-27,2014-12-31 00:00:00,美元,年报,001,2014/FY,2014年 年报,一般企业,182795000000,6.9539523726,70537000000,9.6930206519,39510000000,6.6771066771,6.49,6.45,38.5880357778,21.6143767609,11.962240691054,57.939612903226,0.833084570879,30.094696244427,6.213365639865,432.128996963848,33.6118011366,18.0066037886,1.080112848317,1.046841508007,0.94113289623,51.8860070998,107.8397446816,13.4615384615,2.5609790183,-0.2588456892,9.7005080186,-6.8812042867,28.7031128406,-35.6554229569,-36.0993728412,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2015-10-28 00:00:00,2012-09-30 00:00:00,2013-09-28 00:00:00,9-28,2013-12-31 00:00:00,美元,年报,001,2013/FY,2013年 年报,一般企业,170910000000,9.2020855164,64304000000,-6.3470332935,37037000000,-11.2524860422,5.72,5.68,37.6244807208,21.6704698379,14.223535286285,83.448923679061,0.892331307562,25.310163243812,4.314016096655,403.43759873626,30.6396039031,19.337238686,1.678638508406,1.638233542535,1.229236336983,40.3144927536,67.5448607435,-10.3448275862,-14.2388478539,-18.7309349103,-28.4815274432,-32.2492344769,22.6869508101,12.2198071063,11.0421673462,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2015-01-28 00:00:00,2011-09-25 00:00:00,2012-09-29 00:00:00,9-29,2012-12-31 00:00:00,美元,年报,001,2012/FY,2012年 年报,一般企业,156508000000,44.5814741938,68662000000,56.6981605733,41733000000,60.9945220276,6.38,6.31,43.8712398088,26.6650906024,19.204613779987,112.119974473516,1.070378032725,18.745495437932,3.210846253671,336.329772280081,42.841524445,28.5417272214,1.495848684552,1.475325618805,1.319495615173,32.8596419484,48.941713899,-77.2549019608,8.3805248544,11.352109892,2.8034621192,5.4564079963,-3.8155399643,-6.9998939564,-6.6659333258,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2012-10-31 00:00:00,2010-09-26 00:00:00,2011-09-24 00:00:00,9-24,2011-12-31 00:00:00,美元,年报,001,2011/FY,2011年 年报,一般企业,108249000000,65.9624377156,43818000000,70.6042672481,25922000000,84.9853707272,28.05,27.68,40.4788958789,23.9466415394,19.900542329258,70.532019704434,1.130219154912,18.089959260594,5.104064813521,318.522295817956,41.6732311946,27.0649529637,1.608437611727,1.580693600286,1.341759027529,34.1631506131,51.8906219409,82.0246593121,2.7969157335,11.4621918511,18.109841826,18.4770102545,-6.2321790105,-20.0296458798,-19.3759500206,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2012-10-31 00:00:00,2009-09-27 00:00:00,2010-09-25 00:00:00,9-25,2010-12-31 00:00:00,美元,年报,001,2010/FY,2010年 年报,一般企业,65225000000,52.0219088684,25684000000,49.1348275462,14013000000,70.1639344262,15.41,15.15,39.3775392871,21.4840935224,14.705219253748,52.511288180611,1.063300837925,24.481103871215,6.855668799474,338.568340360315,35.2834535635,22.8440546445,2.011292346299,1.960573303735,0.897355467619,36.4337682721,57.3162310895,67.136659436,-1.8991218723,11.9338230211,12.8342136726,20.7711214364,9.1129453812,-26.6616075534,-27.465091856,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2011-10-26 00:00:00,2008-09-28 00:00:00,2009-09-26 00:00:00,9-26,2009-12-31 00:00:00,美元,年报,001,2009/FY,2009年 年报,一般企业,42905000000,14.4407991251,17222000000,30.4993559142,8235000000,34.5808138585,9.22,9.08,40.139843841,19.1935671833,14.838319211482,53.284232365145,0.985494929542,24.261507982752,6.756220067749,365.298683137119,31.2701727739,18.915163139,2.742482183209,2.702937597775,0.882930644881,33.3908759816,50.1295828066,32.8530259366,14.0321956085,17.5986316834,-9.1330377361,0.3393917159,-28.7377982772,19.6096033109,19.7717018673,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2010-10-27 00:00:00,2007-09-30 00:00:00,2008-09-27 00:00:00,9-27,2008-12-31 00:00:00,美元,年报,001,2008/FY,2008年 年报,一般企业,37491000000,56.1734566358,13197000000,61.846946284,6119000000,75.028604119,6.94,6.78,35.2004481075,16.3212504334,18.473022912047,56.828070175439,1.155008549115,19.487877090502,6.334897505557,311.686004641128,34.4131376188,18.8511837829,2.292861197843,2.256741413568,0.680953732614,46.856363085,88.1692819781,71.7821782178,3.6328130082,12.0732087826,20.6625403119,14.7247672095,9.8167577545,-3.0891240846,-3.0885686353,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2009-10-27 00:00:00,2006-10-01 00:00:00,2007-09-29 00:00:00,9-29,2007-12-31 00:00:00,美元,年报,001,2007/FY,2007年 年报,一般企业,24006000000,24.2868237121,8154000000,45.6591639871,3496000000,75.7667169432,4.04,3.93,33.9665083729,14.5630259102,16.618899273105,51.467532467532,1.128313592781,21.66208447888,6.994700984103,319.060234941151,28.5201501061,16.4316600865,2.365948275862,2.328663793103,0.589439655172,42.6677713339,74.4219653179,71.186440678,17.1959823547,41.4202340151,24.8348048383,18.6359249229,1.6616820108,5.0644754386,5.3696244046,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2008-11-05 00:00:00,2005-09-25 00:00:00,2006-09-30 00:00:00,9-30,2006-12-31 00:00:00,美元,年报,001,2006/FY,2006年 年报,一般企业,19315000000,38.6476204149,5598000000,38.4957941613,1989000000,49.7740963855,2.36,2.27,28.9826559669,10.2976960911,17.992547741034,63.066666666667,1.345008878521,20.008283717318,5.708245243129,267.656225731286,22.8463128877,13.8504926709,2.25190128822,2.209995343784,0.344559987583,41.9703574542,72.3257211538,43.9024390244,-0.1095051273,8.0250031967,7.5565874803,2.0326579814,18.2315646874,-23.7633029901,-23.9639490501,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2007-11-15 00:00:00,2004-09-26 00:00:00,2005-09-24 00:00:00,9-24,2005-12-31 00:00:00,美元,年报,001,2005/FY,2005年 年报,一般企业,13931000000,68.2691146274,4042000000,78.9287295263,1328000000,381.1594202899,1.64,1.55,29.0144282535,9.5326968631,16.693828639904,74.353383458647,1.424000817745,21.564855358553,4.841743351198,252.808843586259,21.2412028151,13.5745681284,2.953828505879,2.906509893892,0.726985947806,35.4984369573,55.0350026925,343.2432432432,6.3348612265,185.9463671405,257.8296104651,265.554266717,-3.9131077653,10.9936126022,10.8018080056,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2005-12-01 00:00:00,2003-09-28 00:00:00,2004-09-25 00:00:00,9-25,2004-12-31 00:00:00,美元,年报,001,2004/FY,2004年 年报,一般企业,8279000000,33.3816658611,2259000000,32.2599531616,276000000,300.0,0.37,0.36,27.2859040947,3.3337359584,10.751948051948,76.687898089172,1.113891691894,33.482304626163,4.694352159468,323.191206667388,5.9361221637,3.7134207871,2.661259901924,2.623161071294,0.352319879291,36.9440993789,58.5894405043,270.0,-0.8409796746,199.8912912137,257.8019141835,252.8557013012,-2.864954758,6.5498486298,6.0331100161,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2005-12-01 00:00:00,2002-09-29 00:00:00,2003-09-27 00:00:00,9-27,2003-12-31 00:00:00,美元,年报,001,2003/FY,2003年 年报,一般企业,6207000000,8.0982236155,1708000000,6.5502183406,69000000,6.1538461538,0.1,0.09,27.5173191558,1.1116481392,9.326821938392,89.089108910891,0.946694120339,38.598356694056,4.040897977328,380.270662155468,1.6590526569,1.0523907573,2.497666525244,2.473907509546,0.122613491727,38.0337490829,61.3781671797,-44.4444444444,-1.4320358124,-1.798713611,2.2869772696,-0.2738327778,8.7319799021,-23.1415905929,-23.2315431251,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2004-12-03 00:00:00,2001-09-30 00:00:00,2002-09-28 00:00:00,9-28,2002-12-31 00:00:00,美元,年报,001,2002/FY,2002年 年报,一般企业,5742000000,7.0669401454,1603000000,29.7975708502,65000000,360.0,0.18,0.18,27.917102055,1.1320097527,11.13870029098,147.821428571429,0.932218524231,32.3197492163,2.435370862527,386.175548589285,1.6219588272,1.0552804611,3.249698431846,3.222557297949,0.053679131484,34.9793585265,53.7973137973,357.1428571429,21.2302982356,342.8387321378,360.3892701163,370.6583326948,0.2430831452,-4.0823989978,-4.6796185057,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2003-12-19 00:00:00,2000-10-01 00:00:00,2001-09-29 00:00:00,9-29,2001-12-31 00:00:00,美元,年报,001,2001/FY,2001年 年报,一般企业,5363000000,-32.8197419516,1235000000,-42.9824561404,-25000000,-103.1806615776,-0.07,-0.07,23.0281558829,-0.4661570017,7.558844256519,187.636363636364,0.836400499064,47.626328547453,1.918604651163,430.415812045628,-0.6228977202,-0.3898939488,3.388010540184,3.380764163373,0.12187088274,34.8945357914,53.5969387755,-102.8925619835,-15.1275307418,-104.7345182501,,,-11.9482466658,20.674854877,21.1534506452,USD
AAPL.O,AAPL,苹果,10130187,1000199555,美国会计准则,2002-12-19 00:00:00,1999-09-26 00:00:00,2000-09-30 00:00:00,9-30,2000-12-31 00:00:00,美元,年报,001,2000/FY,2000年 年报,一般企业,7983000000,,2166000000,,786000000,,2.42,2.18,27.1326568959,9.8459225855,,,,,,,,,2.807553026384,2.790481117434,0.449042938438,39.6295751874,65.6440224008,,,,,,,,,USD
